City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,agadez,19.75,10.25,35.43,12,5,3.79,NE,1692388783
113,kuala tungkal,-0.8167,103.4667,24.85,90,99,2.54,ID,1692388783
114,vadso,70.0744,29.7487,10.49,71,75,7.2,NO,1692388555
115,san patricio,28.017,-97.5169,39.4,39,1,7.48,US,1692388550
116,yulinshi,38.2906,109.7494,24.17,31,100,2.04,CN,1692388611
117,kodiak,57.79,-152.4072,11.73,71,0,1.54,US,1692388417
118,penarth,51.4394,-3.1761,20.49,92,100,8.75,GB,1692388784
119,saurimo,-9.6608,20.3916,25.78,22,84,1.84,AO,1692388784
120,afaahiti,-17.75,-149.2833,25.93,69,69,10.76,PF,1692388497
121,bilibino,68.0546,166.4372,4.85,82,48,1.82,RU,1692388487
122,tsiombe,-25.3,45.4833,20.05,61,4,2.17,MG,1692388621
123,kuqa,41.7278,82.9364,22.97,41,92,5.2,CN,1692388606
124,dampit,-8.2116,112.7493,17.96,96,58,1.43,ID,1692388785
125,sretensk,52.2453,117.7093,8.69,96,60,1.92,RU,1692388785
126,bonthe,7.5264,-12.505,25.52,86,100,3.58,SL,1692388513
127,sandston,37.5235,-77.3158,32.84,43,40,5.14,US,1692388785
128,westport,41.1415,-73.3579,28.49,57,100,5.14,US,1692388568
129,fort bragg,35.139,-79.006,33.28,42,75,3.09,US,1692388571
130,luderitz,-26.6481,15.1594,13.05,82,100,3.92,NA,1692388510
131,hotan,37.0997,79.9269,25.28,22,51,1.68,CN,1692388617
132,songadh,21.1667,73.5667,24.57,86,91,3.98,IN,1692388786
133,margaret river,-33.95,115.0667,12.6,76,54,1.92,AU,1692388500
134,khandyga,62.6667,135.6,15.02,85,1,1.37,RU,1692388597
135,barranca,-10.75,-77.7667,20.35,71,23,5.73,PE,1692388786
136,abadan,30.3392,48.3043,36.97,32,40,1.03,IR,1692388786
137,oriximina,-1.7656,-55.8661,35.69,33,28,2.61,BR,1692388787
138,howard springs,-12.497,131.047,21.01,89,3,2.6,AU,1692388569
139,yuzhno-kurilsk,44.0306,145.8556,18.04,95,47,1.63,RU,1692388556
140,papao,-17.75,-149.55,26.82,70,17,11.26,PF,1692388620
141,yelizovo,53.1873,158.3805,14.08,100,75,4.02,RU,1692388787
142,ancud,-41.8697,-73.8203,8.64,67,88,4.85,CL,1692388372
143,huanta,-12.9333,-74.25,26.22,16,5,0.73,PE,1692388788
144,kismayo,-0.3582,42.5454,24.76,86,100,6.36,SO,1692388788
145,corfu,39.62,19.9197,28.88,70,20,1.54,GR,1692388788
146,saint-philippe,-21.3585,55.7679,19.77,88,54,4.2,RE,1692388507
147,thaton,16.9206,97.3714,24.7,93,100,0.38,MM,1692388788
148,nadym,65.5333,72.5167,13.44,70,100,4.84,RU,1692388610
149,mar del plata,-38.0023,-57.5575,13.01,65,20,7.72,AR,1692388788
150,hermanus,-34.4187,19.2345,10.45,87,100,2.96,ZA,1692388496
151,lagoa,39.05,-27.9833,22.55,71,1,5.27,PT,1692388789
152,itoman,26.1247,127.6694,28.01,91,40,2.06,JP,1692388564
153,puerto baquerizo moreno,-0.9,-89.6,27.55,65,40,7.72,EC,1692388513
154,weno,7.4515,151.8468,25.97,94,75,0.0,FM,1692388509
155,masterton,-40.9597,175.6575,6.6,94,100,1.46,NZ,1692388789
156,ust-tsilma,65.441,52.1498,10.24,72,71,5.35,RU,1692388485
157,smithers,54.7804,-127.1743,17.18,45,20,4.63,CA,1692388790
158,frolovo,49.7713,43.6622,25.22,26,75,4.18,RU,1692388790
159,yellowknife,62.456,-114.3525,13.56,65,100,5.66,CA,1692388493
160,olonkinbyen,70.9221,-8.7187,6.54,90,100,5.51,SJ,1692388471
161,northam,51.0333,-4.2167,19.25,96,100,11.75,GB,1692388790
162,jamestown,42.097,-79.2353,18.62,67,100,7.2,US,1692388484
163,tura,25.5198,90.2201,23.9,94,100,2.9,IN,1692388488
164,zavety il'icha,49.0294,140.2494,17.74,98,90,1.21,RU,1692388791
165,campoverde,-8.4753,-74.8058,33.83,25,18,0.77,PE,1692388791
166,dudinka,69.4058,86.1778,12.87,68,99,2.03,RU,1692388535
167,saldanha,-33.0117,17.9442,11.03,84,100,4.36,ZA,1692388574
168,atherton,53.5237,-2.4935,18.72,89,100,0.89,GB,1692388792
169,kingston,17.997,-76.7936,32.53,66,40,4.12,JM,1692388568
170,livingstone,-17.8419,25.8543,19.26,30,0,2.4,ZM,1692388792
171,camara de lobos,32.6333,-16.9667,25.95,87,20,3.6,PT,1692388793
172,nadi,-17.8,177.4167,21.0,94,20,0.0,FJ,1692388483
173,tolanaro,-25.0319,46.9987,21.04,78,20,8.23,MG,1692388552
174,punta arenas,-53.15,-70.9167,4.06,93,100,6.17,CL,1692388256
175,taoudenni,22.6783,-3.9836,38.51,27,74,5.62,ML,1692388613
176,mamuju,-2.6748,118.8885,24.94,89,100,2.68,ID,1692388794
177,point pedro,9.8167,80.2333,28.01,80,100,10.81,LK,1692388794
178,freeport,40.6576,-73.5832,29.47,51,20,7.2,US,1692388604
179,itaueira,-7.6033,-43.0256,34.92,23,99,3.23,BR,1692388794
180,yichang,30.7144,111.2847,25.53,89,76,1.27,CN,1692388794
181,egilsstadir,65.2653,-14.3948,13.95,72,75,4.12,IS,1692388627
182,yeppoon,-23.1333,150.7333,16.88,42,2,5.59,AU,1692388795
183,male,4.1748,73.5089,28.97,79,75,5.66,MV,1692388795
184,avarua,-21.2078,-159.775,26.03,83,75,3.6,CK,1692388467
